  lstm_init = (Variable(lstm_init[0], volatile=x.volatile), Variable(lstm_init[1], volatile=x.volatile))
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 28: TrL=0.5405, TrA=0.8338, VL=4.8573, VA=0.1467, TeL=4.8079, TeA=0.1537, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 29: TrL=0.5038, TrA=0.8423, VL=5.3368, VA=0.1436, TeL=5.1919, TeA=0.1472, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 30: TrL=0.5186, TrA=0.8502, VL=5.1219, VA=0.1603, TeL=5.1177, TeA=0.1426, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 31: TrL=0.3775, TrA=0.8874, VL=5.4021, VA=0.1436, TeL=5.3613, TeA=0.1472, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 32: TrL=0.4140, TrA=0.8750, VL=5.3571, VA=0.1512, TeL=5.2805, TeA=0.1547, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 33: TrL=0.4177, TrA=0.8709, VL=5.4340, VA=0.1472, TeL=5.5004, TeA=0.1406, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 34: TrL=0.3539, TrA=0.8910, VL=5.6064, VA=0.1477, TeL=5.5963, TeA=0.1532, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 35: TrL=0.2872, TrA=0.9185, VL=5.8838, VA=0.1517, TeL=5.9308, TeA=0.1406, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 36: TrL=0.3958, TrA=0.8842, VL=5.7759, VA=0.1492, TeL=5.8188, TeA=0.1442, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 37: TrL=0.3249, TrA=0.9038, VL=6.0644, VA=0.1421, TeL=5.9248, TeA=0.1507, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 38: TrL=0.2556, TrA=0.9264, VL=6.0968, VA=0.1512, TeL=6.1006, TeA=0.1431, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 39: TrL=0.2354, TrA=0.9342, VL=6.1620, VA=0.1436, TeL=6.1301, TeA=0.1426, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 40: TrL=0.2596, TrA=0.9295, VL=6.3288, VA=0.1376, TeL=6.3552, TeA=0.1391, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 41: TrL=0.3633, TrA=0.8866, VL=6.4888, VA=0.1497, TeL=6.4326, TeA=0.1351, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 42: TrL=0.3099, TrA=0.9088, VL=6.4270, VA=0.1537, TeL=6.4707, TeA=0.1361, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 43: TrL=0.2028, TrA=0.9430, VL=6.6636, VA=0.1411, TeL=6.5652, TeA=0.1431, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 44: TrL=0.1547, TrA=0.9593, VL=6.6474, VA=0.1583, TeL=6.6160, TeA=0.1336, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 45: TrL=0.2577, TrA=0.9251, VL=6.7959, VA=0.1502, TeL=6.7242, TeA=0.1467, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 46: TrL=0.2740, TrA=0.9181, VL=6.8707, VA=0.1381, TeL=6.8723, TeA=0.1477, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 47: TrL=0.2598, TrA=0.9181, VL=6.8936, VA=0.1452, TeL=6.8797, TeA=0.1416, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 48: TrL=0.1542, TrA=0.9576, VL=7.0563, VA=0.1522, TeL=7.1688, TeA=0.1361, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 49: TrL=0.0725, TrA=0.9852, VL=7.0957, VA=0.1588, TeL=6.9740, TeA=0.1502, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 50: TrL=0.1581, TrA=0.9585, VL=7.7306, VA=0.1341, TeL=7.7395, TeA=0.1326, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 51: TrL=0.4667, TrA=0.8584, VL=6.9701, VA=0.1421, TeL=7.0697, TeA=0.1275, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 52: TrL=0.2543, TrA=0.9233, VL=7.2779, VA=0.1416, TeL=7.2177, TeA=0.1376, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 53: TrL=0.1403, TrA=0.9632, VL=7.1090, VA=0.1522, TeL=7.0519, TeA=0.1472, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 54: TrL=0.1020, TrA=0.9774, VL=7.3876, VA=0.1497, TeL=7.3914, TeA=0.1346, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 55: TrL=0.2530, TrA=0.9235, VL=7.3935, VA=0.1356, TeL=7.5801, TeA=0.1250, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 56: TrL=0.2696, TrA=0.9174, VL=7.2767, VA=0.1436, TeL=7.3212, TeA=0.1381, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 57: TrL=0.1046, TrA=0.9723, VL=7.5036, VA=0.1452, TeL=7.4378, TeA=0.1386, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 58: TrL=0.0982, TrA=0.9755, VL=7.6246, VA=0.1442, TeL=7.5592, TeA=0.1316, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 59: TrL=0.1988, TrA=0.9428, VL=7.8157, VA=0.1275, TeL=7.7233, TeA=0.1376, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 60: TrL=0.2519, TrA=0.9225, VL=7.8461, VA=0.1351, TeL=7.8379, TeA=0.1376, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 61: TrL=0.1925, TrA=0.9381, VL=7.7358, VA=0.1371, TeL=7.8184, TeA=0.1371, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 62: TrL=0.1303, TrA=0.9630, VL=7.7048, VA=0.1457, TeL=7.7898, TeA=0.1381, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 63: TrL=0.0746, TrA=0.9806, VL=7.8410, VA=0.1462, TeL=7.7991, TeA=0.1331, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 64: TrL=0.2497, TrA=0.9288, VL=8.3602, VA=0.1265, TeL=8.3430, TeA=0.1240, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 65: TrL=0.3166, TrA=0.9003, VL=7.7939, VA=0.1502, TeL=7.7425, TeA=0.1411, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 66: TrL=0.1353, TrA=0.9652, VL=7.9634, VA=0.1416, TeL=8.0162, TeA=0.1265, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 67: TrL=0.1243, TrA=0.9649, VL=7.9125, VA=0.1502, TeL=7.9660, TeA=0.1326, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 68: TrL=0.1360, TrA=0.9601, VL=7.9393, VA=0.1336, TeL=7.9155, TeA=0.1326, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 69: TrL=0.1357, TrA=0.9623, VL=8.1520, VA=0.1321, TeL=8.1393, TeA=0.1250, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 70: TrL=0.1018, TrA=0.9715, VL=8.4574, VA=0.1351, TeL=8.1843, TeA=0.1275, TeA at max VA = 0.1537 at epoch 25
Model: lstm - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 71: TrL=0.2039, TrA=0.9405, VL=8.5381, VA=0.1346, TeL=8.5676, TeA=0.1255, TeA at max VA = 0.1537 at epoch 25
